action,ticker,date,price,shares,invest,regime,rank_score,rs_score,sigma,mu,sigma_mult,source,order_type,confidence,kelly_target_pct,attribution_version,source_job,source_task,order_source,panel_score,expected_return,score_snapshot,decision_inputs,event_id,gross_pnl,proceeds_basis,net_pnl_after_tax,pnl_pct,hold_days,tax,exit_reason,partial,exit_signal_reason,exit_stop_loss_pct,exit_stop_n_sigma,exit_max_single_day_loss_pct,exit_sdl_n_sigma,exit_trailing_stop_trigger_pct,exit_trailing_stop_trail_pct,exit_atr_n_multiplier,exit_max_hold_days
sell,D,2024-10-24,60.75784645767212,86.0,,BULL_CALM,,,,,,ExitPipeline,SELL_qp_sell,0.7085220923987327,,exit_decision_v1,TickerSellJob,qp_sell,TickerSellJob.qp_sell,,,"{'rank_score': 0.4642980383504362, 'panel_score': -0.3706780672073364, 'mu': -0.007957724784976175, 'sigma': 0.20669923579104746, 'kelly_target_pct': 0.0, 'confidence': 0.7085220923987327, 'regime': 'BULL_CALM'}","{'acceptance_reason': 'qp_sell', 'exit_reason': 'qp_sell', 'signal_reason': 'qp_dw=-0.0504', 'partial': True, 'quantity': 86.0, 'hold_days': 57, 'pnl_pct': 0.0648537702789242, 'stop_loss_pct': 0.15, 'stop_n_sigma': None, 'max_single_day_loss_pct': 0.0, 'sdl_n_sigma': 3.0, 'trailing_stop_trigger_pct': 0.12, 'trailing_stop_trail_pct': 0.25, 'atr_n_multiplier': None, 'max_hold_days': 500}",43,318.233634799195,4906.941160560607,159.1168173995975,0.0648537702789242,57.0,159.1168173995975,qp_sell,True,qp_dw=-0.0504,0.15,,0.0,3.0,0.12,0.25,,500.0
buy,D,2024-10-25,59.5919178314209,92.0,5482.456440490723,BULL_CALM,0.5653446108946624,0.0,0.20669923579104746,0.027677638397444825,1.0,TopUpJob.TopUpHeldTask,TOP_UP,0.7052132198495373,,order_attribution_v1,TopUpJob,TopUpHeldTask,TopUpJob.TopUpHeldTask,0.027565928176045418,,"{'rank_score': 0.5653446108946624, 'panel_score': 0.027565928176045418, 'rs_score': 0.0, 'mu': 0.027677638397444825, 'sigma': 0.20669923579104746, 'kelly_target_pct': 0.10578198297743059, 'expected_return': 0.027677638397444825, 'confidence': 0.7052132198495373, 'regime': 'BULL_CALM'}","{'current_pct': 0.006924138551131421, 'kelly_target_pct': 0.10578198297743059, 'delta_pct': 0.09885784442629918, 'top_up_threshold': 0.05, 'topup_conviction_floor': 0.2, 'cash_before': 5485.987429562809, 'acceptance_reason': 'kelly_target_above_current_weight', 'order_type': 'TOP_UP', 'source_job': 'TopUpJob', 'source_task': 'TopUpHeldTask'}",44,,,,,,,,,,,,,,,,,
sell,D,2024-10-28,60.10797493209839,104.0,,BULL_CALM,,,,,,ExitPipeline,SELL_panel_conviction,0.6697150542454713,,exit_decision_v1,TickerSellJob,panel_conviction,TickerSellJob.panel_conviction,,,"{'rank_score': 0.4620209194452713, 'panel_score': -0.37966272234916687, 'mu': -0.00876440088568308, 'sigma': 0.20669923579104746, 'kelly_target_pct': 0.0, 'confidence': 0.6697150542454713, 'regime': 'BULL_CALM'}","{'acceptance_reason': 'panel_conviction', 'exit_reason': 'panel_conviction', 'signal_reason': 'panel_conviction[xs] panel=-0.380 (thr=+0.060 of 31) mu=-0.0088', 'partial': False, 'quantity': None, 'hold_days': 61, 'pnl_pct': 0.015464229383948194, 'stop_loss_pct': 0.15, 'stop_n_sigma': None, 'max_single_day_loss_pct': 0.0, 'sdl_n_sigma': 3.0, 'trailing_stop_trigger_pct': 0.12, 'trailing_stop_trail_pct': 0.25, 'atr_n_multiplier': None, 'max_hold_days': 500}",45,95.19827726745552,6156.031115670777,47.59913863372776,0.015464229383948194,61.0,47.59913863372776,panel_conviction,False,panel_conviction[xs] panel=-0.380 (thr=+0.060 of 31) mu=-0.0088,0.15,,0.0,3.0,0.12,0.25,,500.0
buy,DUK,2024-10-29,114.4328856628418,45.0,5149.479854827881,BULL_CALM,0.505171401334362,0.0,0.14373631076497886,0.0064834964800161545,1.0,TopUpJob.TopUpHeldTask,TOP_UP,0.7353330024757009,,order_attribution_v1,TopUpJob,TopUpHeldTask,TopUpJob.TopUpHeldTask,-0.2100418508052826,,"{'rank_score': 0.505171401334362, 'panel_score': -0.2100418508052826, 'rs_score': 0.0, 'mu': 0.0064834964800161545, 'sigma': 0.14373631076497886, 'kelly_target_pct': 0.11029995037135513, 'expected_return': 0.0064834964800161545, 'confidence': 0.7353330024757009, 'regime': 'BULL_CALM'}","{'current_pct': 0.056599693459748544, 'kelly_target_pct': 0.11029995037135513, 'delta_pct': 0.05370025691160659, 'top_up_threshold': 0.05, 'topup_conviction_floor': 0.2, 'cash_before': 5180.955332078685, 'acceptance_reason': 'kelly_target_above_current_weight', 'order_type': 'TOP_UP', 'source_job': 'TopUpJob', 'source_task': 'TopUpHeldTask'}",46,,,,,,,,,,,,,,,,,
buy,WMT,2024-10-30,81.40627738952637,63.0,5128.595475540161,BULL_CALM,0.5931944399747819,0.0014238716006824692,0.19909538167637314,0.037493586454504874,,qp,QP_BUY,0.688270065488475,0.10324050982327125,order_attribution_v1,JointPortfolioQPJob,JointPortfolioQPTask,JointPortfolioQPJob.JointPortfolioQPTask,0.13970693945884705,,"{'rank_score': 0.5931944399747819, 'panel_score': 0.13970693945884705, 'rs_score': 0.0014238716006824692, 'mu': 0.037493586454504874, 'sigma': 0.19909538167637314, 'kelly_target_pct': 0.10324050982327125, 'expected_return': 0.037493586454504874, 'confidence': 0.688270065488475, 'regime': 'BULL_CALM'}","{'delta_w': 0.05021704387190715, 'target_w': 0.05021704387190715, 'solver_status': 'optimal', 'acceptance_reason': 'qp_target_weight_increase', 'order_type': 'QP_BUY', 'source_job': 'JointPortfolioQPJob', 'source_task': 'JointPortfolioQPTask'}",47,,,,,,,,,,,,,,,,,
sell,DUK,2024-11-01,112.65746430511474,64.0,,BULL_CALM,,,,,,ExitPipeline,SELL_qp_sell,0.7162158099693808,,exit_decision_v1,TickerSellJob,qp_sell,TickerSellJob.qp_sell,,,"{'rank_score': 0.5050835677789917, 'panel_score': -0.21038655936717987, 'mu': 0.006452523857285311, 'sigma': 0.14373631076497886, 'kelly_target_pct': 0.10743237149540712, 'confidence': 0.7162158099693808, 'regime': 'BULL_CALM'}","{'acceptance_reason': 'qp_sell', 'exit_reason': 'qp_sell', 'signal_reason': 'qp_dw=-0.0720', 'partial': True, 'quantity': 64.0, 'hold_days': 106, 'pnl_pct': -0.004719741643194158, 'stop_loss_pct': 0.15, 'stop_n_sigma': None, 'max_single_day_loss_pct': 0.0, 'sdl_n_sigma': 3.0, 'trailing_stop_trigger_pct': 0.12, 'trailing_stop_trail_pct': 0.25, 'atr_n_multiplier': None, 'max_hold_days': 500}",48,-34.19107709503169,7244.268792622375,-34.19107709503169,-0.004719741643194158,106.0,0.0,qp_sell,True,qp_dw=-0.0720,0.15,,0.0,3.0,0.12,0.25,,500.0
buy,WMT,2024-11-01,82.20644044189453,14.0,1150.8901661865234,BULL_CALM,0.5863001782366423,0.0,0.19662304508205605,0.03506198292189411,1.0,TopUpJob.TopUpHeldTask,TOP_UP,0.7162158099693808,,order_attribution_v1,TopUpJob,TopUpHeldTask,TopUpJob.TopUpHeldTask,0.11175135523080826,,"{'rank_score': 0.5863001782366423, 'panel_score': 0.11175135523080826, 'rs_score': 0.0, 'mu': 0.03506198292189411, 'sigma': 0.19662304508205605, 'kelly_target_pct': 0.10743237149540712, 'expected_return': 0.03506198292189411, 'confidence': 0.7162158099693808, 'regime': 'BULL_CALM'}","{'current_pct': 0.051229833458999126, 'kelly_target_pct': 0.10743237149540712, 'delta_pct': 0.05620253803640799, 'top_up_threshold': 0.05, 'topup_conviction_floor': 0.2, 'cash_before': 1153.928235455266, 'acceptance_reason': 'kelly_target_above_current_weight', 'order_type': 'TOP_UP', 'source_job': 'TopUpJob', 'source_task': 'TopUpHeldTask'}",49,,,,,,,,,,,,,,,,,
sell,XOM,2024-11-05,118.93620708465576,102.0,,CHOPPY,,,,,,ExitPipeline,SELL_max_hold,0.5,,exit_decision_v1,TickerSellJob,max_hold,TickerSellJob.max_hold,,,"{'rank_score': 0.5843165411600278, 'panel_score': 0.10373371094465256, 'mu': 0.034362592816099956, 'sigma': 0.18116210385847328, 'kelly_target_pct': 0.075, 'confidence': 0.5, 'regime': 'CHOPPY'}","{'acceptance_reason': 'max_hold', 'exit_reason': 'max_hold', 'signal_reason': 'max_hold days=126', 'partial': False, 'quantity': None, 'hold_days': 126, 'pnl_pct': 0.039287500965628074, 'stop_loss_pct': 0.08, 'stop_n_sigma': None, 'max_single_day_loss_pct': 0.06, 'sdl_n_sigma': None, 'trailing_stop_trigger_pct': 0.15, 'trailing_stop_trail_pct': 0.1, 'atr_n_multiplier': None, 'max_hold_days': 40}",50,458.59884519653315,11672.894277438354,229.29942259826657,0.039287500965628074,126.0,229.29942259826657,max_hold,False,max_hold days=126,0.08,,0.06,,0.15,0.1,,40.0
sell,KMI,2024-11-05,24.705057084655763,259.0,,CHOPPY,,,,,,ExitPipeline,SELL_max_hold,0.5,,exit_decision_v1,TickerSellJob,max_hold,TickerSellJob.max_hold,,,"{'rank_score': 0.512909557749131, 'panel_score': -0.17966486513614655, 'mu': 0.009211364374597185, 'sigma': 0.16152129641217394, 'kelly_target_pct': 0.075, 'confidence': 0.5, 'regime': 'CHOPPY'}","{'acceptance_reason': 'max_hold', 'exit_reason': 'max_hold', 'signal_reason': 'max_hold days=123', 'partial': False, 'quantity': None, 'hold_days': 123, 'pnl_pct': 0.24038408072952322, 'stop_loss_pct': 0.08, 'stop_n_sigma': None, 'max_single_day_loss_pct': 0.06, 'sdl_n_sigma': None, 'trailing_stop_trigger_pct': 0.15, 'trailing_stop_trail_pct': 0.1, 'atr_n_multiplier': None, 'max_hold_days': 40}",51,1240.038432444001,5158.571352481842,620.0192162220005,0.24038408072952322,123.0,620.0192162220005,max_hold,False,max_hold days=123,0.08,,0.06,,0.15,0.1,,40.0
sell,DUK,2024-11-05,114.05718583068848,32.0,,CHOPPY,,,,,,ExitPipeline,SELL_max_hold,0.5,,exit_decision_v1,TickerSellJob,max_hold,TickerSellJob.max_hold,,,"{'rank_score': 0.4989696433734696, 'panel_score': -0.2343798130750656, 'mu': 0.004296140621079891, 'sigma': 0.14373631076497886, 'kelly_target_pct': 0.075, 'confidence': 0.5, 'regime': 'CHOPPY'}","{'acceptance_reason': 'max_hold', 'exit_reason': 'max_hold', 'signal_reason': 'max_hold days=110', 'partial': False, 'quantity': None, 'hold_days': 110, 'pnl_pct': 0.05133509506586697, 'stop_loss_pct': 0.08, 'stop_n_sigma': None, 'max_single_day_loss_pct': 0.06, 'sdl_n_sigma': None, 'trailing_stop_trigger_pct': 0.15, 'trailing_stop_trail_pct': 0.1, 'atr_n_multiplier': None, 'max_hold_days': 40}",52,178.21564994964638,3471.614296632385,89.10782497482319,0.05133509506586697,110.0,89.10782497482319,max_hold,False,max_hold days=110,0.08,,0.06,,0.15,0.1,,40.0
