knob_a,knob_b,beta
weight_decay,warmup_epochs,0.004766422045847208
lr,seq_len,0.004766422045847206
lr,warmup_epochs,0.0030334938079259214
weight_decay,seq_len,0.0030334938079259214
warmup_epochs,seq_len,0.0026845072180433594
lr,weight_decay,0.0026845072180433447
